,,01.22.2019,
,number,id,old RT
,200,MM39.14.1B3,0.002
,201,MM39.14.2A3,0.003
,202,MM39.14.2B1,0.004
,203,MM39.14.2B5,0.002
,204,MM39.14.2D4,0.004
,205,MM39.16.1A4,0.013
,206,MM39.16.1B2,0.016
,,MEDIA,
,207,MM39.16.1B4,0.011
,208,MM39.16.1C4,0.007
,209,MM39.16.2A5,0.005
,210,MM39.16.2C3,0.021
,211,MM39.16.2D2,0.008
box 17,212,MM39.16.13A2,0.008
,213,MM39.16.13A5,0.002
,214,MM39.16.13B1,0.004
,215,MM39.16.13B3,0.002
,216,MM39.16.14B3,0.003
box 17,217,MM39.16.14C1,0.002
,218,MM39.16.1A1.bulk,0.008
,219,MM39.16.1A2.bulk,0.003
,220,MM39.16.1A3.bulk,0.001
box 17,221,MM40.01.1A1,0.018
box 17,222,MM40.01.1A2,0.020
box 18,223,MM40.01.1A4,0.015
,224,MM40.01.1A5,0.002
,225,MM40.01.1A6,0.004
box 18,226,MM40.01.1B1,0.024
,227,MM40.01.1B2,0.021
,228,MM40.01.1B3,0.022
,229,MM40.01.1B4,0.001
,230,MM40.01.1B5,0.001
,231,MM40.01.1C6,0.018
,232,MM40.01.1D1,0.027
,233,MM40.01.2A4,0.011
,234,MM40.01.2B5,0.018
,235,MM40.01.2C2,0.023
,236,MM40.01.2D4,0.013
,237,MM40.01.2D5,0.020
,,MEDIA,
,238,MM40.01.2A1.bulk,0.055
,239,MM40.01.2A2.bulk,0.049
,240,MM40.07.11A3,0.003
box 18,241,MM40.07.11A4,0.015
box 18,242,MM40.07.11B1,0.014
,243,MM40.07.11B3,0.002
box 19,244,MM40.07.11B4,0.012
,245,MM40.07.11B5,0.003
,246,MM40.07.11C1,0.035
,247,MM40.07.12B1,0.041
box 19,248,MM40.12.13A6,0.006
box 19,249,MM40.12.13C1,0.005
box 20,250,MM40.12.14C5,0.006
box 20,251,MM40.12.14D2,0.017
,252,MM40.12.1A1.bulk,0.003
,253,MM40.12.1A2.bulk,0.002
box 20,254,MM40.13.11A1,0.005
box 20,255,MM40.13.11A5,0.002
box 21,256,MM40.13.11B3,0.005
,257,MM40.13.11D4,0.003
box 21,258,MM40.13.12A1,0.011
,259,MM40.13.12B2,0.003
box 21,260,MM40.13.12B5,0.007
box 22,261,MM40.13.12C2,0.011
box 22,262,MM40.13.12C3,0.016
box 21,263,MM40.13.13D5,0.005
,264,MM40.15.1A3,0.013
,265,MM40.15.1A5,0.018
,266,MM40.15.1B1,0.034
,267,MM40.15.1B6,0.021
,268,MM40.15.1C1,0.024
,,MEDIA,
,269,MM40.15.2A2,0.015
,270,MM40.15.2B1,0.030
,271,MM40.15.2B5,0.015
,272,MM40.15.2B6,0.012
,273,MM40.15.2C1,0.017
,274,MM40.15.2C3,0.032
,275,MM40.15.2D1,0.034
,276,MM40.15.2D6,0.018
,277,MM40.15.13B6,0.002
box 22,278,MM40.15.13C1,0.008
box 22,279,MM40.15.14B2,0.001
,280,MM40.15.14B3,0.005
box 23,281,MM40.15.14C3,0.017
box 23,282,MM40.15.14D5,0.014
,283,MM40.15.1.bulk,0.003
,284,MM40.18.1C7.VOA,0.002
,285,MM14.02.2C3.bulk,0.010
,286,MM14.02.2B4.bulk,0.009
,287,MM14.02.2A1.bulk,0.011
,288,MM14.06.2B1.bulk,0.003
,289,MM14.06.2B2.bulk,0.007
,290,MM14.08.2B3.bulk,0.007
,291,MM14.08.2B4.bulk,0.014
,292,MM14.10.2C1.bulk,0.008
,293,MM14.10.2C2.bulk,0.014
,294,MM14.12.1A1.bulk,0.001
,295,MM14.12.1A2.bulk,0.009
,296,MM14.14.1A1.bulk,0.002
,297,MM14.14.1A2.bulk,0.001
,298,MM14.16.1B1.bulk,0.001
,,SG3 JRFL WT,
,,SG3 JRFL Mut,
,,NL43 JRFL WT,
,,NL43 JRFL Mut,
,,CH40 6mo CD4,
,,CH40 TF CD4,
,, SG3 (NEW BACTH),
,,YU2 (NEW BACTH),
,,SG3+WEAU,
,,MEDIA,
,,MEDIA,
,,MEDIA,
,,MEDIA,
,,MEDIA,
,,MEDIA,
,,MEDIA,
,,MEDIA,
,,MEDIA,
