id,sample
Ctrl_WT,CoJRFL_WildType
Ctrl_L193A,CoJRFL_L193A
V1,MM15.02.2B5 bulk
V2,MM15.03.2B6 bulk
V3,MM15.03.2A3 bulk
V4,MM15.06.2A1 bulk
V5,MM15.07.2A3 bulk
V6,MM15.08.2B1 bulk
V7,MM15.11.2B4 bulk
V8,MM15.13.2C1 bulk
V9,MM15.14.2C3 bulk
