,,01.23.2019,
,number,id,old RT
,299,MM14.16.1B2.bulk,0.003
,300,MM14.17.1B3.bulk ,0.003
,301,MM14.17.1B4.bulk,0.004
,302,MM14.23.1A3.VOA,0.002
,303,MM15.02.2B5.bulk,0.009
,304,MM15.02.2A2.bulk,0.001
,305,MM15.02.2A4.bulk,0.023
,,MEDIA,
,306,MM15.03.2B6.bulk,0.006
,307,MM15.03.2A3.bulk,0.004
,308,MM15.03.1B2.bulk,0.023
,309,MM15.03.2B1.bulk,0.030
,310,MM15.06.2A1.bulk,0.002
,311,MM15.07.2A3.bulk,0.004
,312,MM15.08.2B1.bulk,0.001
,313,MM15.11.2B4.bulk,0.002
,314,MM15.13.2C1.bulk,0.005
,315,MM15.14.2C3.bulk,0.001
,316,MM15.16.1B2.VOA,0.003
,317,MM55.01.1A3.bulk,0.006
,318,MM55.03.2B4.bulk,0.008
,319,MM55.03.2A1.bulk,0.007
,320,MM55.09.2A1.bulk,0.004
,321,MM55.11.2A3.bulk,0.001
,322,MM55.12.2B1.bulk,0.012
,323,MM55.12.2B2.bulk,0.004
,324,MM55.14.1B4.bulk,0.019
,325,MM55.14.2B5.bulk,0.016
,326,MM55.15.1A3.bulk,0.009
,327,MM55.15.1A4.bulk,0.002
,328,MM55.16.1C2.bulk,0.012
,329,MM55.16.1E1.bulk,0.014
,330,MM62.01.1A3.bulk,0.004
,331,MM62.01.1C4.bulk,0.048
,332,MM62.01.2C6.bulk,0.023
,333,MM62.02.1B1.bulk,0.002
,334,MM62.02.2D1.bulk,0.010
,335,MM62.03.1B3.bulk,0.001
,336,MM62.03.2D2.bulk,0.023
,,MEDIA,
,337,MM62.04.1C1.bulk,0.001
,338,MM62.04.1D3.bulk,0.018
,339,MM62.04.1E5.bulk,0.015
,340,MM62.05.2C1.bulk,0.002
,341,MM62.05.2D5.bulk,0.017
,342,MM62.06.1C3.bulk,0.001
,343,MM62.08.2A1.bulk,0.003
,344,MM62.10.1D6.bulk,0.013
,345,MM62.10.1G6.bulk,0.012
,346,MM62.11.2B5.bulk,0.001
,347,MM62.11.2A2.bulk,0.001
,348,WEAU.02.1A1.bulk,0.013
,349,WEAU.02.1A2.bulk,0.025
,350,WEAU.03.1A4.bulk,0.017
,351,WEAU.03.1A5.bulk,0.016
,352,WEAU.08.1B1.bulk,0.009
,353,WEAU.08.1B2.bulk,0.013
,354,WEAU.11.1B5.bulk,0.012
,355,WEAU.11.1B6.bulk,0.017
,356,WEAU.14.1C1.bulk,0.011
,357,WEAU.14.1C3.bulk,0.015
,358,WEAU.15.1C4.bulk,0.015
,359,WEAU.15.1C5.bulk,0.016
,360,WEAU.17.1D1.bulk,0.018
,361,WEAU.17.1D2.bulk,0.013
,362,WEAU.18.1D4.bulk,0.009
,363,WEAU.18.1D5.bulk,0.009
,364,WEAU.19.1A1.bulk,0.017
,365,WEAU.19.1A3.bulk,0.014
box 19,366,MM40.12.13D1,0.015
Bx 2,367,MM23.01.13A4,0.008
,,MEDIA,
,368,MM23.05.2C1,0.020
,369,MM23.07.2B2,0.025
Bx 4,370,MM23.08.22C6,0.013
Bx 4,371,MM23.11.1C3,0.012
Bx 5,372,MM23.12.22A3,0.0146
Bx 6,373,MM23.13.21A3,0.014
Bx 7,374,MM33.01.13C1,0.013
,375,MM33.07.1A2,0.0184
,376,MM33.08.1A2,0.0248
Bx 8,377,MM33.13.2A4,0.015
Bx 9,378,MM33.14.11A3,0.0113
,379,MM33.17.2A4,0.0154
,380,MM33.19.1A2,0.005
,381,MM34.23.1B2.VOA,0.002
,,SG3 JRFL WT,
,,SG3 JRFL Mut,
,,NL43 JRFL WT,
,,NL43 JRFL Mut,
,,CH40 6mo CD4,
,,CH40 TF CD4,
,,SG3 (NEW BACTH),
,,YU2 (NEW BACTH),
,,SG3+WEAU,
,,MEDIA,
