Block Type,96-Well 0.2-mL Block,,,,,,,,,,,
Chemistry,OTHER,,,,,,,,,,,
Date Created,2018-11-01 11:54:38 AM EDT,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,
Experiment File Name,C:\Applied Biosystems\QuantStudio Design & Analysis Software\User Files\Scott\RT LAMP2.eds,,,,,,,,,,,
Experiment Name,RT LAMP,,,,,,,,,,,
Experiment Run End Time,2018-11-02 11:45:01 AM EDT,,,,,,,,,,,
Experiment Type,Custom,,,,,,,,,,,
Instrument Name,      272520984,,,,,,,,,,,
Instrument Serial Number,272520984,,,,,,,,,,,
Instrument Type,QuantStudio™ 5 System,,,,,,,,,,,
Passive Reference,FAM,,,,,,,,,,,
Post-read Stage/Step,"Stage 4, Step 1",,,,,,,,,,,
Pre-read Stage/Step,"Stage 1, Step 1",,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage3, Step1",,,,,,,,,,,
User Name,,,,,,,,,,,,
,,,,,,,,,,,,
Well,Well Position,Cycle,x1-m1,x1-m2,x2-m2,x2-m3,x3-m3,x3-m4,x4-m4,x4-m5,x5-m5,x5-m6
38,      D2,1,"2,927.573","5,621.931",409.542,279.459,-261.706,228.807,116.756,-187.901,"-3,447.419","-1,014.861"
39,      D3,1,"9,074.513","8,646.484",588.872,558.715,-135.849,275.182,"-1,230.044","-1,079.706","-4,602.492","-1,138.629"
40,      D4,1,"19,600.143","14,650.510","2,123.840","1,524.907","1,863.357","3,341.050","3,550.876","2,114.471",-221.194,814.823
41,      D5,1,"11,629.178","9,122.113",729.126,"1,305.198",895.100,"1,426.254","1,449.670",776.353,-308.539,165.650
42,      D6,1,"22,973.205","21,584.641","2,225.541","1,736.847",842.747,"1,384.412",-332.992,-5.432,"-4,069.428","-1,276.444"
43,      D7,1,"26,248.225","18,151.545","2,505.317","1,932.717","1,474.566","1,351.127",154.582,753.568,489.330,806.947
44,      D8,1,"15,759.831","10,019.695","1,557.904","1,267.383",587.474,"1,059.262","1,615.368",833.969,-401.378,-103.867
45,      D9,1,"39,684.504","30,293.146","3,805.340","3,524.876","2,485.097","2,703.523","2,541.824","1,211.214",-167.127,-20.758
46,      D10,1,"12,525.152","-1,644.026","-1,344.996","-2,030.240","-2,408.605","-3,562.247","-3,376.696","-3,292.362","-2,951.119","-3,541.914"
47,      D11,1,"25,971.258","16,570.590","2,006.141","1,809.836",730.342,"2,247.560","2,970.696",993.318,"1,855.830",158.018
48,      D12,1,"47,336.109","34,431.191","4,469.559","3,669.052","2,220.037","3,632.557","3,633.087","2,371.333",751.319,768.734
49,      E1,1,"19,025.008","11,711.463","1,358.497","1,426.218","1,200.136",833.809,"1,129.393",429.828,918.169,685.376
50,      E2,1,"5,496.235","8,645.027",641.394,934.989,524.190,"1,096.954","1,094.285",-196.106,"-2,675.703",-625.891
51,      E3,1,"11,097.540","14,253.095","1,530.312","1,543.218","1,112.858","1,051.850",-893.992,-709.272,"-5,289.982","-1,798.427"
52,      E4,1,"12,869.780","16,082.076","1,906.175","1,850.019","1,688.407","1,777.635",196.967,-453.559,"-4,447.579",-974.086
53,      E5,1,"20,631.625","15,384.640","1,927.512","1,782.617","1,224.658","1,396.467","1,083.465",668.935,365.497,231.077
54,      E6,1,"10,942.328","15,320.075","1,361.426",795.042,233.718,334.657,"-2,300.108",-930.536,"-5,860.398","-1,177.191"
55,      E7,1,"23,514.299","17,545.545","1,720.063","1,525.836","1,312.709","1,057.095",798.374,-50.020,"-1,274.251",-397.112
56,      E8,1,"11,166.777","9,016.453",786.822,659.919,692.419,"1,112.362",232.893,-17.571,"-1,215.426",-18.462
57,      E9,1,"18,660.254","12,727.159","1,546.401","1,278.884",900.851,980.554,795.413,142.593,-201.688,-187.744
58,      E10,1,"10,896.958","11,851.432","1,647.237","1,888.543","1,825.067","2,025.740","1,188.253",473.864,"-1,789.688",-253.338
59,      E11,1,"13,881.576","8,733.723","3,328.410","12,908.999","19,057.313","27,938.068","35,182.129","9,048.986","2,579.058","1,211.126"
60,      E12,1,"18,445.191","9,051.996","1,308.136","1,490.564",623.531,"1,597.239","1,982.121",868.244,265.869,-135.754
61,      F1,1,"13,184.141","7,582.896","1,676.774",721.603,587.033,"1,581.098","2,352.177",-37.000,139.408,149.082
62,      F2,1,"8,186.949","7,231.638","1,223.568",974.323,687.925,"1,368.280",467.683,-70.714,-652.954,-44.883
63,      F3,1,"2,175.814","1,654.574",389.316,-385.012,-43.040,724.245,427.985,-489.535,-779.392,589.474
64,      F4,1,"9,743.693","9,239.172","1,145.960",797.498,753.370,"1,719.423","1,501.679",536.010,"-1,157.719",357.917
65,      F5,1,"26,530.039","20,228.951","2,996.888","4,260.031","4,457.160","7,403.830","8,024.532","2,856.681",467.933,992.714
66,      F6,1,"-10,174.777","-4,581.975",-245.932,-828.807,246.977,109.238,572.408,-104.085,"-1,308.088",-75.495
67,      F7,1,"21,212.100","11,867.533",992.574,846.593,764.651,"1,055.906",642.948,513.494,"-1,067.583",-268.476
68,      F8,1,"14,343.543","10,100.077","1,161.527",959.475,583.955,933.482,"1,161.580",86.398,-129.529,-535.014
69,      F9,1,"27,324.525","20,511.045","2,821.656","2,598.614","2,619.195","2,933.919","2,471.328",545.779,445.684,486.276
70,      F10,1,"36,141.531","24,658.066","3,332.044","3,394.552","2,922.467","3,590.804","3,550.694","1,662.000","1,145.862",613.033
71,      F11,1,"13,289.354","5,954.166","1,454.517",-321.847,"-1,133.459","-1,560.222","-1,688.346","-1,516.168","1,931.467",380.970
72,      F12,1,"55,573.664","33,161.484","4,404.070","3,596.141","2,092.205","2,802.906","3,434.415",629.597,"1,120.129",634.424
73,      G1,1,"25,681.293","15,509.899","2,196.763","1,807.676","1,576.052","1,799.366","3,748.341",572.919,921.176,944.308
74,      G2,1,"16,594.645","11,137.892","1,350.424",602.822,722.546,"1,822.914","2,347.935",903.307,"-1,040.601",83.217
75,      G3,1,"-1,103.586","5,926.003",311.485,382.278,400.466,698.678,-904.333,24.922,"-5,510.631","-1,177.955"
76,      G4,1,-393.809,"6,402.362",302.072,329.150,499.559,370.562,-546.366,71.710,"-4,284.633",-653.550
77,      G5,1,"11,303.570","8,322.587","1,126.496",281.317,"1,276.432","1,373.012","2,922.659",707.159,281.696,411.342
78,      G6,1,"24,361.082","19,569.492","2,690.763","2,156.776","1,701.931","1,583.150","1,261.442",652.298,"-2,160.080",300.611
79,      G7,1,"14,334.353","10,432.298","1,280.812","1,036.870",695.906,998.199,"1,297.461",698.846,580.786,299.965
80,      G8,1,"11,463.038","14,411.484","1,455.759","1,329.107",614.794,239.462,-622.104,-581.811,"-5,529.525",-374.077
81,      G9,1,"63,753.395","45,416.219","6,115.807","5,071.005","4,283.059","4,421.000","4,173.460",937.112,921.544,740.879
82,      G10,1,"52,544.371","41,311.379","4,862.950","3,160.694","2,840.106","3,077.120","1,886.535","1,517.499","-1,413.494",390.002
83,      G11,1,"46,351.730","21,312.127","2,653.633","-1,524.871","-4,342.341","-1,854.986",-974.888,"1,205.691","1,157.121",775.900
84,      G12,1,"2,719.135",695.517,650.363,-173.594,319.316,120.656,"2,058.503",584.509,"1,744.425",475.687
85,      H1,1,"81,177.664","58,043.676","9,582.256","9,346.408","7,643.142","9,997.327","12,490.707","5,455.506","2,893.968","1,738.056"
86,      H2,1,"-18,649.006","-25,070.709","-8,142.197","-8,071.103","-8,090.027","-13,671.727","-15,302.939","-10,708.717","-9,991.813","-8,099.671"
87,      H3,1,"13,875.052","10,697.121","1,531.100",940.017,"1,458.969","1,416.021",681.580,368.738,"-3,369.940",-737.199
88,      H4,1,"18,951.838","8,652.420","1,652.326","1,238.764",880.609,"1,097.464","1,099.091",615.107,"1,299.977",925.552
