,,01.15.2019,
,number,id,old RT
,114,MM34.01.2A4,0.001
,115,MM34.01.2B3,0.001
,116,MM34.01.2C2,0.002
,118,MM34.06.21C6,0.002
,119,MM34.08.11B5,0.002
,120,MM34.08.11C2,0.003
,122,MM34.08.21A3,0.002
,,Media 1,
Bx 13,123,MM34.12.21A1,0.003
,124,MM34.12.21C5,0.003
,125,MM34.12.21D1,0.002
,126,MM34.12.21D3,0.003
,127,MM34.13.11A1,0.002
,128,MM34.13.11A2,0.002
,129,MM34.13.11B1,0.002
,130,MM34.13.11C5,0.004
,131,MM34.13.11D2,0.002
,132,MM34.13.11D5,0.004
,133,MM34.14.1A4,0.002
,134,MM34.14.1B2,0.001
,135,MM34.14.1B3,0.006
,136,MM34.14.1C6,0.004
,137,MM34.14.1D4,0.004
,138,MM34.14.2A1,0.004
,139,MM34.14.2B1,0.002
,140,MM34.15.11A1,0.003
,141,MM34.15.11C1,0.002
box 13,142,MM34.15.11D3,0.002
box 13,143,MM34.16.11A5,0.009
box 14,144,MM34.16.11C1,0.002
box 14,145,MM34.16.11C3,0.015
,146,MM34.16.11D1,0.004
box 14,147,MM34.16.11D2,0.003
,148,MM34.18.1A6,0.002
,149,MM34.18.1C5,0.003
,150,MM34.18.2A4,0.003
,151,MM34.18.2A6,0.002
,152,MM34.18.2D1,0.002
,153,MM34.18.2D2,0.002
,154,MM34.25.3A5.VOA,0.009
,155,MM34.25.2B5.VOA,0.003
,156,MM39.02.2A2,0.013
,157,MM39.02.2B5,0.035
,158,MM39.02.13B5,0.006
,159,MM39.02.13C3,0.007
,160,MM39.02.13D2,0.005
,161,MM39.02.13D3,0.005
,,Media 2,
,162,MM39.02.13D6,0.004
,163,MM39.02.14C1,0.006
,164,MM39.02.14C2,0.015
box 15,165,MM39.02.14C3,0.003
,166,MM39.02.14C5,0.002
,167,MM39.02.14D4,0.002
,168,MM39.02.14D5,0.007
,169,MM39.07.11A3,0.016
box 16,170,MM39.07.11A4,0.015
box 16,171,MM39.07.11C1,0.003
box 26,172,MM39.07.11C2,0.004
box 15,173,MM39.10.11B3,0.006
box 26,174,MM39.10.11B4,0.014
box 26,175,MM39.10.11D1,0.004
,176,MM39.10.11D4,0.004
,177,MM39.10.11D6,0.004
,178,MM39.10.12A2,0.004
,179,MM39.10.12A6,0.003
,180,MM39.10.12B5,0.003
,181,MM39.10.12C3,0.007
,182,MM39.10.12C4,0.005
,183,MM39.10.12D3,0.007
,184,MM39.10.12D4,0.003
,185,MM39.10.14A3,0.007
box 16,186,MM39.10.14B4,0.005
,187,MM39.10.14C5,0.005
,188,MM39.10.1C1.bulk,0.047
,189,MM39.13.1B1,0.002
box 16 or 26,190,MM39.13.11A2,0.003
,191,MM39.13.11A4,0.002
,192,MM39.13.11B1,0.002
,193,MM39.13.11B2,0.002
,194,MM39.13.11C3,0.002
,195,MM39.13.11C5,0.002
,196,MM39.13.11D1,0.003
,197,MM39.13.1C3.bulk,0.038
,198,MM39.14.1A2,0.002
,199,MM39.14.1A5,0.002
