Block Type,96-Well 0.2-mL Block,,,,,,,,,,,
Calibration Background is expired ,No,,,,,,,,,,,
Calibration Background performed on,08-31-2017,,,,,,,,,,,
Calibration Pure Dye ABY is expired,No,,,,,,,,,,,
Calibration Pure Dye ABY performed on,04-05-2017,,,,,,,,,,,
Calibration Pure Dye CY5 is expired,No,,,,,,,,,,,
Calibration Pure Dye CY5 performed on,04-05-2017,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,
Calibration Pure Dye FAM performed on,04-05-2017,,,,,,,,,,,
Calibration Pure Dye JUN is expired,No,,,,,,,,,,,
Calibration Pure Dye JUN performed on,04-05-2017,,,,,,,,,,,
Calibration Pure Dye MUSTANG PURPLE is expired,No,,,,,,,,,,,
Calibration Pure Dye MUSTANG PURPLE performed on,04-05-2017,,,,,,,,,,,
Calibration Pure Dye NED is expired,No,,,,,,,,,,,
Calibration Pure Dye NED performed on,04-05-2017,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,
Calibration Pure Dye ROX performed on,04-05-2017,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,04-05-2017,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,No,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,04-05-2017,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,
Calibration Pure Dye VIC performed on,04-05-2017,,,,,,,,,,,
Calibration ROI is expired ,No,,,,,,,,,,,
Calibration ROI performed on,04-05-2017,,,,,,,,,,,
Calibration Uniformity is expired ,No,,,,,,,,,,,
Calibration Uniformity performed on,04-05-2017,,,,,,,,,,,
Chemistry,OTHER,,,,,,,,,,,
39,      D3,1,"45,440.059","29,530.250","4,023.107","2,555.554","1,751.773","2,098.222",639.314,46.257,"-3,153.101",-307.275
40,      D4,1,"27,889.199","20,752.697","3,288.245","1,812.623","1,853.871","2,759.942","3,124.713","1,963.494",-721.971,688.686
41,      D5,1,"17,398.496","13,817.493","2,739.861","1,815.030","1,622.713","2,270.233","2,717.677","1,268.881",-335.998,214.864
42,      D6,1,"31,967.572","29,474.352","3,659.635","2,538.849","1,389.644","1,856.382",327.607,488.068,"-4,139.625","-1,200.099"
43,      D7,1,"35,077.070","25,341.672","4,268.301","2,643.696","1,920.418","2,240.056","1,332.114","1,396.185",263.359,"1,044.320"
44,      D8,1,"24,384.367","16,450.184","2,876.271","1,966.450","1,036.113","1,463.843","2,169.905","1,166.359",-285.513,-159.402
45,      D9,1,"51,365.234","40,646.848","5,792.732","4,530.448","3,432.119","3,403.990","2,994.706","1,631.762",-782.402,32.741
46,      D10,1,"15,782.654","3,021.382",-246.891,"-1,481.464","-1,715.744","-3,084.103","-3,669.567","-2,849.141","-3,433.423","-3,108.011"
47,      D11,1,"35,400.352","24,223.838","3,566.251","2,422.299","1,511.963","2,530.598","3,181.791","1,326.557","1,323.143",298.729
48,      D12,1,"58,955.434","41,566.133","5,589.209","4,405.958","3,770.020","4,910.395","5,539.750","3,426.530","1,699.582","1,147.158"
49,      E1,1,"1,996,614.750","1,322,693.250","465,928.938","222,586.125","10,022.777","9,130.956","2,993.727",747.203,"1,041.880",613.567
50,      E2,1,"2,950,272.500","1,792,799.750","702,612.438","322,845.469","10,508.221","10,221.459","5,245.166","1,715.680",315.837,421.886
51,      E3,1,"1,912,015.000","1,202,878.375","410,880.219","199,435.938","8,457.747","8,261.945","2,176.018",272.979,"-4,137.742","-1,198.839"
52,      E4,1,"1,972,624.750","1,273,319.625","396,559.813","199,660.313","9,330.714","9,081.940","2,245.847",819.452,"-3,073.132",-127.542
53,      E5,1,"1,861,284.125","1,182,769.750","355,935.594","179,696.313","8,524.986","8,118.120","3,210.621","1,380.444",852.792,655.183
54,      E6,1,"1,890,321.375","1,207,420.000","358,711.344","180,579.297","8,642.431","8,135.108",338.240,62.642,"-4,769.697",-603.639
55,      E7,1,"1,929,009.625","1,223,629.000","322,455.031","165,404.891","12,903.390","10,795.228","3,658.071","1,139.931","1,459.142",608.948
56,      E8,1,"1,892,063.500","1,189,919.625","315,906.750","159,700.609","7,716.070","7,780.980","1,569.617",636.368,-103.672,533.820
57,      E9,1,"1,850,348.000","1,171,412.500","320,753.219","162,525.484","7,585.180","7,958.837","2,632.247","1,121.637","1,586.812",702.589
58,      E10,1,"1,991,986.250","1,272,266.125","371,881.000","185,825.469","9,426.838","9,375.662","2,825.581","1,606.328",657.083,641.508
59,      E11,1,"1,689,019.750","1,076,524.750","345,309.406","172,367.219","17,770.908","21,968.908","20,838.861","6,416.153","3,305.639","1,575.010"
60,      E12,1,"32,309.078","19,699.664","3,084.241","2,422.601","1,545.246","2,875.865","3,179.474","1,533.810","1,334.956",687.119
61,      F1,1,"19,904.666","12,001.958","2,497.628","1,130.848","1,049.681","2,126.798","3,442.284",842.055,47.407,336.013
62,      F2,1,"13,292.936","10,926.290","2,239.519","1,247.412","1,296.547","1,763.250","1,115.928",251.921,-621.426,-200.582
63,      F3,1,"6,145.879","7,045.551","1,801.710",81.475,"1,096.012","1,498.714","1,086.020",-75.570,"-1,286.209",357.856
64,      F4,1,"15,742.215","13,581.077","2,341.073","1,280.912","1,484.453","2,910.562","3,127.177","1,534.125",-743.186,355.608
65,      F5,1,"33,264.488","24,731.164","3,255.506","2,865.021","2,496.341","3,385.287","3,539.912",987.694,-276.684,225.366
66,      F6,1,"-2,669.995",-278.829,760.508,-187.709,635.856,734.344,"1,642.280",342.091,-708.495,71.015
67,      F7,1,"32,041.824","18,580.713","2,282.061","1,796.974","1,235.465","2,675.643","3,021.947","1,760.080",156.511,157.775
68,      F8,1,"19,908.393","14,148.673","1,806.195","1,229.747",728.662,"1,600.744","1,757.855",506.826,164.086,-509.905
69,      F9,1,"35,169.063","27,369.650","3,784.271","3,275.775","3,150.143","3,871.739","3,327.323","1,030.575",64.036,368.906
70,      F10,1,"44,336.230","32,131.361","3,492.543","3,693.629","3,127.229","3,792.926","4,229.833","1,808.461",142.752,618.198
71,      F11,1,"15,368.421","9,994.332","1,448.152",-82.815,"-1,101.770","-1,192.275","-1,760.568","-1,670.011",498.862,164.154
72,      F12,1,"65,561.789","42,683.723","5,342.247","3,876.074","2,815.280","3,407.196","3,138.200",301.146,-294.806,353.753
73,      G1,1,"30,344.270","21,052.617","3,988.493","3,765.997","6,404.232","4,577.700","5,654.689","1,118.423",674.496,"1,154.127"
74,      G2,1,"20,129.520","14,992.897","1,620.389",892.953,"1,614.377","2,553.002","2,636.098","1,161.135","-1,327.872",-222.044
75,      G3,1,"1,386.657","9,011.262",894.189,754.215,826.001,"1,741.752",213.305,199.499,"-5,517.681",-619.234
76,      G4,1,"2,957.618","9,692.071",762.386,980.576,553.291,"1,173.953",763.652,475.174,"-4,297.240",-556.040
77,      G5,1,"16,035.518","12,023.505","1,558.392","1,251.686","1,902.500","2,754.924","4,688.147","1,695.930",209.303,699.825
